Title,Producto y Módulo,Palabras clave BC CSC CM,Categoría,Acceso,Soporte
"¿Cómo importar movimientos de stock? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""lote"",""TermID"":""5c074276-e48d-4e1d-8510-b456d0b8f239""},{""Label"":""remito"",""TermID"":""8f44d720-3d44-4451-b5cd-524c8d88e83b""},{""Label"":""movimiento"",""TermID"":""2090cab4-39dc-4819-b702-5c118e2775c0""},{""Label"":""reportes de stock"",""TermID"":""d6112a90-cc13-4b15-aff8-87a959a6fb93""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Almacén → Movimiento de Stock ","Externo"
"¿Cómo confeccionar un remito? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""lote"",""TermID"":""5c074276-e48d-4e1d-8510-b456d0b8f239""},{""Label"":""remito"",""TermID"":""8f44d720-3d44-4451-b5cd-524c8d88e83b""},{""Label"":""cuenta contable"",""TermID"":""7b6b32e5-efad-48a6-acd8-3048d0b609cd""},{""Label"":""ingreso stock"",""TermID"":""1172f6a9-06a1-4e95-962b-160b2ec1b900""},{""Label"":""movimiento"",""TermID"":""2090cab4-39dc-4819-b702-5c118e2775c0""},{""Label"":""reportes de stock"",""TermID"":""d6112a90-cc13-4b15-aff8-87a959a6fb93""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Almacén → Remitos ","Externo"
"¿Cómo visualizar un remito? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacén"",""TermID"":""2f57099c-957f-4077-9b58-a3ff4b47e46f""},{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""lote"",""TermID"":""5c074276-e48d-4e1d-8510-b456d0b8f239""},{""Label"":""remito"",""TermID"":""8f44d720-3d44-4451-b5cd-524c8d88e83b""},{""Label"":""cuenta contable"",""TermID"":""7b6b32e5-efad-48a6-acd8-3048d0b609cd""},{""Label"":""ingreso stock"",""TermID"":""1172f6a9-06a1-4e95-962b-160b2ec1b900""},{""Label"":""movimiento"",""TermID"":""2090cab4-39dc-4819-b702-5c118e2775c0""},{""Label"":""reportes de stock"",""TermID"":""d6112a90-cc13-4b15-aff8-87a959a6fb93""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Almacén → Remitos ","Externo"
"¿Cómo ingresar material en préstamo? ","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Almacén"",""TermID"":""4fe793f5-2910-41cd-bebc-f2eda59fceca""}]","[{""Label"":""almacenes"",""TermID"":""f67aa87b-24c6-4bd3-9b06-ce7dbcc33a1f""},{""Label"":""farmacia"",""TermID"":""175196c3-ad40-4bff-bc69-775b238442b7""},{""Label"":""rubros"",""TermID"":""7659a7c1-7b8d-4e12-a4c3-812fe486ce47""},{""Label"":""stock"",""TermID"":""94b31485-28c9-451c-9f6a-d287f75273c9""},{""Label"":""medicamentos"",""TermID"":""172369d4-4a6a-4fe6-a49d-c76f96b4cf72""},{""Label"":""lote"",""TermID"":""5c074276-e48d-4e1d-8510-b456d0b8f239""},{""Label"":""remito"",""TermID"":""8f44d720-3d44-4451-b5cd-524c8d88e83b""},{""Label"":""cuenta contable"",""TermID"":""7b6b32e5-efad-48a6-acd8-3048d0b609cd""},{""Label"":""ingreso stock"",""TermID"":""1172f6a9-06a1-4e95-962b-160b2ec1b900""},{""Label"":""material préstamo"",""TermID"":""8706793e-eec0-44bb-961e-ae48786d65e2""},{""Label"":""movimiento"",""TermID"":""2090cab4-39dc-4819-b702-5c118e2775c0""},{""Label"":""registrar devolución"",""TermID"":""0ed29f50-c3e9-42de-861d-d402ee0d912e""},{""Label"":""reportes de stock"",""TermID"":""d6112a90-cc13-4b15-aff8-87a959a6fb93""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Almacén → Material en Préstamo ","Externo"
"¿Cómo mantener más de una agenda vigente para un mismo profesional?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Turnos"",""TermID"":""1cac52c8-332b-4f02-b0b6-f820e023cdc3""}]","[{""Label"":""agenda"",""TermID"":""f1f474cb-65d1-44d2-ae6a-106f19725c85""},{""Label"":""profesional"",""TermID"":""a857ccaf-88cd-454a-88b7-9a108fd21758""},{""Label"":""horario"",""TermID"":""580000b6-184f-40f9-8748-7bf787cebb72""},{""Label"":""turno"",""TermID"":""da799543-adb0-4bb8-b07c-d12b3e691044""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Entidades → Profesionales → Seleccionar el profesional en cuestión → Editar → Pestaña “Agenda”","Externo"
"¿Cómo generar un próximo turno desde una atención en consultorio?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Turnos"",""TermID"":""1cac52c8-332b-4f02-b0b6-f820e023cdc3""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""}]","[{""Label"":""turno"",""TermID"":""da799543-adb0-4bb8-b07c-d12b3e691044""},{""Label"":""consultorio"",""TermID"":""7decbca0-650a-4a68-8c37-0a35e9441719""},{""Label"":""agenda"",""TermID"":""f1f474cb-65d1-44d2-ae6a-106f19725c85""}]","[{""Label"":""Proceso"",""TermID"":""d87ee811-80d3-478e-a097-e0ff796a1c0f""}]","Sucesos → Ausentismo → Consultorios → Buscar → Nuevo","Externo"
"¿Cómo habilitar el funcionamiento de google maps con la dirección  de una visita a domicilio?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Domicilios"",""TermID"":""09b293a8-67e6-4a19-8b6a-5cb733b0da78""}]","[{""Label"":""domicilio"",""TermID"":""aa1f0108-5aaa-4cea-a85d-989b2245e7d2""},{""Label"":""mapa"",""TermID"":""d2c5040d-e2cb-480e-bdaf-205986dbd865""},{""Label"":""GoogleMaps"",""TermID"":""3f548c58-3ae8-40da-b08e-532af262aa1d""},{""Label"":""visita a domicilio"",""TermID"":""f51f62f2-2cad-4082-bbd6-9b22e8d73aa1""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""},{""Label"":""Solución definitiva"",""TermID"":""eaa1f7aa-a161-45af-a3a0-b4e964f69cf3""}]","Configuración → General → Parámetros Generales","Externo"
"¿Qué condición se tiene que cumplir para poder generar el archivo PDF de un examen?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Exámenes"",""TermID"":""d37647f8-689d-4cc3-a835-7964be46fe4f""}]","[{""Label"":""digitalización"",""TermID"":""6696c614-b304-4c90-a040-747c5f4d6664""},{""Label"":""examen"",""TermID"":""2bd608ee-d31b-4ff6-8be5-ebd3fd5a3603""},{""Label"":""generar PDF"",""TermID"":""44d444e1-d7c1-42ff-aa9b-0c7bd3e244e8""},{""Label"":""PDF"",""TermID"":""eb1fd51e-a39a-403f-90be-e01a020f0bf3""},{""Label"":""resultado"",""TermID"":""8df46157-c790-4e10-825e-a5bbf24a88d8""},{""Label"":""resultado de examen"",""TermID"":""2d43e6dc-e6d9-4085-986e-c8b99e9f7c88""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""},{""Label"":""Solución definitiva"",""TermID"":""eaa1f7aa-a161-45af-a3a0-b4e964f69cf3""}]","Configuración → Exámenes → Resultados de Exámenes","Externo"
"¿Cómo actualizar la ubicación del manual de ML.Web?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Seguridad"",""TermID"":""91b860fb-d3db-4823-955b-e1419676b2d6""}]","[{""Label"":""usuario"",""TermID"":""c84ef1d6-1557-4a9f-9f73-f0fb1cc4dd99""},{""Label"":""manual ml.net"",""TermID"":""ac58705b-fad2-4a3c-bb34-7ad8cc747409""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Base de Datos","Interno"
"¿Cómo configurar la firma de un examen?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Exámenes"",""TermID"":""d37647f8-689d-4cc3-a835-7964be46fe4f""}]","[{""Label"":""examen"",""TermID"":""2bd608ee-d31b-4ff6-8be5-ebd3fd5a3603""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración -> Exámenes -> Configuración de Exámen","Externo"
"¿Cómo agregar o editar un profesional?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Exámenes"",""TermID"":""d37647f8-689d-4cc3-a835-7964be46fe4f""},{""Label"":""ML.net CM:Domicilios"",""TermID"":""09b293a8-67e6-4a19-8b6a-5cb733b0da78""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""}]","[{""Label"":""profesional"",""TermID"":""a857ccaf-88cd-454a-88b7-9a108fd21758""},{""Label"":""rol"",""TermID"":""d061a9e9-f769-4d20-b6a4-a86f78af00d6""},{""Label"":""firma"",""TermID"":""440acab0-1ff5-401a-93a0-17c39dde8a89""},{""Label"":""visita a domicilio"",""TermID"":""f51f62f2-2cad-4082-bbd6-9b22e8d73aa1""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Entidades -> Profesionales","Externo"
"¿Cómo configurar una prestación o estudio y sus respectivos resultados?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Historias Clínicas"",""TermID"":""0f6a816e-7f7c-45a7-a988-c777845069fe""},{""Label"":""ML.net CM:Exámenes"",""TermID"":""d37647f8-689d-4cc3-a835-7964be46fe4f""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""}]","[{""Label"":""examen"",""TermID"":""2bd608ee-d31b-4ff6-8be5-ebd3fd5a3603""},{""Label"":""resultado de examen"",""TermID"":""2d43e6dc-e6d9-4085-986e-c8b99e9f7c88""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración -> General -> Rubros y Prestaciones","Externo"
"Error: The transaction log for database 'CM' is full due to 'LOG_BACKUP'","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML Manager CM"",""TermID"":""21fda726-15aa-4c9d-9acb-715a4abab28d""}]","[{""Label"":""error"",""TermID"":""bb5dfe33-5311-44ca-a2e1-77ce749592fc""},{""Label"":""log_backup"",""TermID"":""58beb6d0-adf1-456c-88ff-fc5f2297ba61""}]","[{""Label"":""Solución definitiva"",""TermID"":""eaa1f7aa-a161-45af-a3a0-b4e964f69cf3""},{""Label"":""Workaround"",""TermID"":""217da19e-d677-41bd-8aab-06e79363d540""}]","Base de Datos.

Ejemplo:
https://accessinformatica.atlassian.net/browse/SDCM-5190
","Interno"
"¿Cómo configurar un formulario para que se envíe a la ART?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Historias Clínicas"",""TermID"":""0f6a816e-7f7c-45a7-a988-c777845069fe""}]","[{""Label"":""formulario"",""TermID"":""803dae6a-3383-4fa7-8e2a-17e0e74a8063""},{""Label"":""envío"",""TermID"":""cb8bcf8a-68d3-42b2-8002-868fffee6723""}]","[{""Label"":""Ajustes de datos"",""TermID"":""a1069a9c-eabd-447e-bb4a-3fce9aa24c4c""},{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración>Accidentes>Formularios>Formularios

","Externo"
"¿Cómo configurar por cada diagnóstico OMS la cantidad máxima de días de tratamiento?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""},{""Label"":""ML.net CM:Exámenes"",""TermID"":""d37647f8-689d-4cc3-a835-7964be46fe4f""},{""Label"":""ML.net CM:Turnos"",""TermID"":""1cac52c8-332b-4f02-b0b6-f820e023cdc3""}]","[{""Label"":""diagnóstico OMS"",""TermID"":""d4fc539f-2808-4ca5-95c9-eee5c588e14e""},{""Label"":""diagnósticos S10"",""TermID"":""a6c1d24c-2251-437d-8067-503868d4edea""}]","[{""Label"":""Ajustes de datos"",""TermID"":""a1069a9c-eabd-447e-bb4a-3fce9aa24c4c""},{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Configuración → Historias Clínicas → Diagnósticos OMS

Ejemplo:
https://accessinformatica.atlassian.net/browse/SDCM-14250","Externo"
"¿Cómo dar de alta un paciente?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Historias Clínicas"",""TermID"":""0f6a816e-7f7c-45a7-a988-c777845069fe""}]","[{""Label"":""paciente"",""TermID"":""ac775e0d-dacc-4a92-b044-7022c932b74c""},{""Label"":""historia clínica"",""TermID"":""9c62b301-4ce5-4747-a53a-8706dfda71d4""}]","[{""Label"":""Ajustes de datos"",""TermID"":""a1069a9c-eabd-447e-bb4a-3fce9aa24c4c""},{""Label"":""Proceso"",""TermID"":""d87ee811-80d3-478e-a097-e0ff796a1c0f""}]","Historias Clínicas","Externo"
"¿Cómo configurar los horarios de un profesional?","[{""Label"":""ML.net CM"",""TermID"":""fa567bcc-8278-4715-b2a1-0bd88a11fbfd""},{""Label"":""ML.net CM:Consultorios"",""TermID"":""af7ddc2f-6cf8-4040-95d5-bffca4d4fee8""}]","[{""Label"":""profesional"",""TermID"":""a857ccaf-88cd-454a-88b7-9a108fd21758""},{""Label"":""consultorio"",""TermID"":""7decbca0-650a-4a68-8c37-0a35e9441719""},{""Label"":""domicilio"",""TermID"":""aa1f0108-5aaa-4cea-a85d-989b2245e7d2""},{""Label"":""turno"",""TermID"":""da799543-adb0-4bb8-b07c-d12b3e691044""},{""Label"":""agenda"",""TermID"":""f1f474cb-65d1-44d2-ae6a-106f19725c85""},{""Label"":""especialidad"",""TermID"":""b5194961-30d8-48aa-8320-3b3b62d09040""}]","[{""Label"":""Ajustes de datos"",""TermID"":""a1069a9c-eabd-447e-bb4a-3fce9aa24c4c""}]","Entidades -> Profesionales","Externo"
"¿Cómo cambiar masivamente la ruta de los comprobantes de compra?","[{""Label"":""ML Manager CM"",""TermID"":""21fda726-15aa-4c9d-9acb-715a4abab28d""},{""Label"":""ML Manager CM:Compras"",""TermID"":""1eb03041-3446-4cf3-ab64-5ab518a9407e""}]","[{""Label"":""compras"",""TermID"":""269de924-c7e6-42ab-851b-34860d21d028""},{""Label"":""comprobante"",""TermID"":""aa829f0c-7fc5-4449-b22a-eb60d3de30b3""}]","[{""Label"":""Ajustes de datos"",""TermID"":""a1069a9c-eabd-447e-bb4a-3fce9aa24c4c""}]","Base de Datos.","Interno"
"¿Cómo habilitar el QR de la AFIP de un comprobante de venta?","[{""Label"":""ML Manager CM"",""TermID"":""21fda726-15aa-4c9d-9acb-715a4abab28d""},{""Label"":""ML Manager CM:Ventas"",""TermID"":""3ef3003f-2f40-4d6b-9976-9e3c1b3457b2""}]","[{""Label"":""QR"",""TermID"":""54c90949-2bd0-4903-8709-8f7b050f1e5a""},{""Label"":""ventas"",""TermID"":""a4835522-b78c-4836-8d0e-8aadcd484bdf""},{""Label"":""factura"",""TermID"":""e920df5f-484a-4b04-a1b0-04a717252969""},{""Label"":""AFIP"",""TermID"":""108560eb-0f0f-49bd-b5f6-a94a9f20b3f8""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""}]","Modulo de Administración: 
Ventas -> Datos -> Parámetros","Externo"
"¿Cómo configurar los estudios de un grupo de examen?","[{""Label"":""ML Manager CM"",""TermID"":""21fda726-15aa-4c9d-9acb-715a4abab28d""},{""Label"":""ML Manager CM:Exámenes"",""TermID"":""0c7dbc51-0068-4c95-bd2d-721ea90e2450""}]","[{""Label"":""examen"",""TermID"":""2bd608ee-d31b-4ff6-8be5-ebd3fd5a3603""}]","[{""Label"":""Configuración"",""TermID"":""da1d4ced-8392-419f-9069-77232192e7c2""},{""Label"":""Solución definitiva"",""TermID"":""eaa1f7aa-a161-45af-a3a0-b4e964f69cf3""}]","Clientes >Examenes.","Externo"
